Frame 0: X=822, Y=793, Radius=43, VelocityVer=3.56, VelocityHor=-0.42, DetectionNum=0
Frame 36: X=622, Y=463, Radius=27, VelocityVer=2.83, VelocityHor=-0.42, DetectionNum=10
Frame 37: X=551, Y=929, Radius=27, VelocityVer=2.83, VelocityHor=-0.42, DetectionNum=10
Frame 39: X=407, Y=1859, Radius=27, VelocityVer=2.83, VelocityHor=-0.42, DetectionNum=10
Frame 36: X=622, Y=463, Radius=27, VelocityVer=5.21, VelocityHor=-0.42, DetectionNum=11
Frame 38: X=479, Y=1393, Radius=27, VelocityVer=5.21, VelocityHor=-0.42, DetectionNum=11
Frame 39: X=407, Y=1859, Radius=27, VelocityVer=5.21, VelocityHor=-0.42, DetectionNum=11
Frame 36: X=302, Y=375, Radius=61, VelocityVer=2.78, VelocityHor=1.28, DetectionNum=12
Frame 37: X=519, Y=753, Radius=61, VelocityVer=2.78, VelocityHor=1.28, DetectionNum=12
Frame 39: X=951, Y=1506, Radius=61, VelocityVer=2.78, VelocityHor=1.28, DetectionNum=12
Frame 36: X=302, Y=375, Radius=61, VelocityVer=3.49, VelocityHor=1.28, DetectionNum=13
Frame 38: X=735, Y=1129, Radius=61, VelocityVer=3.49, VelocityHor=1.28, DetectionNum=13
Frame 39: X=951, Y=1506, Radius=61, VelocityVer=3.49, VelocityHor=1.28, DetectionNum=13
Frame 37: X=551, Y=929, Radius=27, VelocityVer=6.55, VelocityHor=-0.42, DetectionNum=14
Frame 38: X=479, Y=1393, Radius=27, VelocityVer=6.55, VelocityHor=-0.42, DetectionNum=14
Frame 39: X=407, Y=1859, Radius=27, VelocityVer=6.55, VelocityHor=-0.42, DetectionNum=14
Frame 37: X=519, Y=753, Radius=61, VelocityVer=4.07, VelocityHor=1.27, DetectionNum=15
Frame 38: X=735, Y=1129, Radius=61, VelocityVer=4.07, VelocityHor=1.27, DetectionNum=15
Frame 39: X=951, Y=1506, Radius=61, VelocityVer=4.07, VelocityHor=1.27, DetectionNum=15
Frame 39: X=333, Y=639, Radius=35, VelocityVer=3.41, VelocityHor=0.64, DetectionNum=16
Frame 41: X=549, Y=1277, Radius=35, VelocityVer=3.41, VelocityHor=0.64, DetectionNum=16
Frame 43: X=766, Y=1916, Radius=35, VelocityVer=3.41, VelocityHor=0.64, DetectionNum=16
Frame 44: X=268, Y=502, Radius=54, VelocityVer=5.18, VelocityHor=1.27, DetectionNum=17
Frame 45: X=484, Y=1004, Radius=54, VelocityVer=5.18, VelocityHor=1.27, DetectionNum=17
Frame 46: X=699, Y=1505, Radius=54, VelocityVer=5.18, VelocityHor=1.27, DetectionNum=17
Frame 44: X=274, Y=366, Radius=58, VelocityVer=3.15, VelocityHor=1.27, DetectionNum=18
Frame 45: X=489, Y=732, Radius=58, VelocityVer=3.15, VelocityHor=1.27, DetectionNum=18
Frame 46: X=705, Y=1099, Radius=58, VelocityVer=3.15, VelocityHor=1.27, DetectionNum=18
Frame 45: X=489, Y=732, Radius=58, VelocityVer=4.05, VelocityHor=1.28, DetectionNum=19
Frame 46: X=705, Y=1099, Radius=58, VelocityVer=4.05, VelocityHor=1.28, DetectionNum=19
Frame 47: X=922, Y=1467, Radius=58, VelocityVer=4.05, VelocityHor=1.28, DetectionNum=19
Frame 47: X=665, Y=585, Radius=61, VelocityVer=4.92, VelocityHor=-0.42, DetectionNum=20
Frame 48: X=592, Y=1171, Radius=61, VelocityVer=4.92, VelocityHor=-0.42, DetectionNum=20
Frame 49: X=521, Y=1756, Radius=61, VelocityVer=4.92, VelocityHor=-0.42, DetectionNum=20
Frame 49: X=317, Y=612, Radius=5, VelocityVer=6.52, VelocityHor=1.27, DetectionNum=21
Frame 50: X=533, Y=1224, Radius=5, VelocityVer=6.52, VelocityHor=1.27, DetectionNum=21
Frame 51: X=749, Y=1837, Radius=5, VelocityVer=6.52, VelocityHor=1.27, DetectionNum=21
Frame 49: X=1001, Y=383, Radius=49, VelocityVer=-0.04, VelocityHor=-0.42, DetectionNum=22
Frame 50: X=929, Y=766, Radius=49, VelocityVer=-0.04, VelocityHor=-0.42, DetectionNum=22
Frame 51: X=857, Y=1149, Radius=49, VelocityVer=-0.04, VelocityHor=-0.42, DetectionNum=22
Frame 51: X=279, Y=585, Radius=35, VelocityVer=7.19, VelocityHor=-0.42, DetectionNum=23
Frame 52: X=207, Y=1170, Radius=35, VelocityVer=7.19, VelocityHor=-0.42, DetectionNum=23
Frame 53: X=135, Y=1755, Radius=35, VelocityVer=7.19, VelocityHor=-0.42, DetectionNum=23
Frame 53: X=926, Y=560, Radius=5, VelocityVer=3.02, VelocityHor=-0.42, DetectionNum=24
Frame 54: X=854, Y=1121, Radius=5, VelocityVer=3.02, VelocityHor=-0.42, DetectionNum=24
Frame 55: X=782, Y=1682, Radius=5, VelocityVer=3.02, VelocityHor=-0.42, DetectionNum=24
Frame 55: X=575, Y=431, Radius=26, VelocityVer=3.18, VelocityHor=-0.42, DetectionNum=25
Frame 56: X=503, Y=863, Radius=26, VelocityVer=3.18, VelocityHor=-0.42, DetectionNum=25
Frame 57: X=432, Y=1294, Radius=26, VelocityVer=3.18, VelocityHor=-0.42, DetectionNum=25
